Data export from TecQuipment CE2000

Data series 1

    Time   Pump 2       LT     Flow 
     0.00    4.000    3.600    1.530
     0.10    4.000    3.590    1.595
     0.20    4.000    3.575    1.640
     0.30    4.000    3.450    1.680
     0.40    4.000    3.345    1.725
     0.50    4.000    3.345    1.760
     0.60    4.000    3.350    1.795
     0.70    4.000    3.350    1.825
     0.80    4.000    3.350    1.855
     0.90    4.000    3.350    1.890
     1.00    4.000    3.345    1.940
     1.10    4.000    3.230    1.975
     1.20    4.000    2.800    2.000
     1.30    4.000    2.270    2.035
     1.40    4.000    1.800    2.100
     1.50    4.000    1.385    2.185
     1.60    4.000    1.020    2.245
     1.70    4.000    0.770    2.265
     1.80    4.000    0.505    2.280
     1.90    4.000    0.275    2.295
     2.00    4.000    0.085    2.315
     2.10    4.000   -0.055    2.330
     2.20    4.000   -0.140    2.345
     2.30    4.000   -0.215    2.355
     2.40    4.000   -0.260    2.370
     2.50    4.000   -0.285    2.385
     2.60    4.000   -0.295    2.400
     2.70    4.000   -0.300    2.410
     2.80    4.000   -0.300    2.415
     2.90    4.000   -0.295    2.425
     3.00    4.000   -0.290    2.440
     3.10    4.000   -0.285    2.450
     3.20    4.000   -0.285    2.460
     3.30    4.000   -0.275    2.470
     3.40    4.000   -0.275    2.480
     3.50    4.000   -0.265    2.490
     3.60    4.000   -0.260    2.505
     3.70    4.000   -0.255    2.515
     3.80    4.000   -0.245    2.530
     3.90    4.000   -0.240    2.540
     4.00    4.000   -0.230    2.550
     4.10    4.000   -0.220    2.560
     4.20    4.000   -0.215    2.565
     4.30    4.000   -0.210    2.570
     4.40    4.000   -0.200    2.580
     4.50    4.000   -0.195    2.585
     4.60    4.000   -0.190    2.595
     4.70    4.000   -0.185    2.600
     4.80    4.000   -0.175    2.605
     4.90    4.000   -0.165    2.615
     5.00    4.000   -0.155    2.620
     5.10    4.000   -0.145    2.625
     5.20    4.000   -0.140    2.630
     5.30    4.000   -0.135    2.635
     5.40    4.000   -0.125    2.640
     5.50    4.000   -0.125    2.640
     5.60    4.000   -0.115    2.650
     5.70    4.000   -0.100    2.650
     5.80    4.000   -0.095    2.655
     5.90    4.000   -0.085    2.665
     6.00    4.000   -0.080    2.665
     6.10    4.000   -0.075    2.670
     6.20    4.000   -0.065    2.675
     6.30    4.000   -0.060    2.675
     6.40    4.000   -0.050    2.680
     6.50    4.000   -0.045    2.690
     6.60    4.000   -0.040    2.695
     6.70    4.000   -0.030    2.700
     6.80    4.000   -0.020    2.705
     6.90    4.000   -0.015    2.710
     7.00    4.000   -0.010    2.715
     7.10    4.000    0.000    2.715
     7.20    4.000    0.010    2.715
     7.30    4.000    0.015    2.720
     7.40    4.000    0.020    2.720
     7.50    4.000    0.025    2.725
     7.60    4.000    0.030    2.725
     7.70    4.000    0.035    2.730
     7.80    4.000    0.045    2.735
     7.90    4.000    0.050    2.740
     8.00    4.000    0.055    2.750
     8.10    4.000    0.065    2.755
     8.20    4.000    0.070    2.760
     8.30    4.000    0.080    2.765
     8.40    4.000    0.085    2.765
     8.50    4.000    0.095    2.770
     8.60    4.000    0.095    2.775
     8.70    4.000    0.100    2.780
     8.80    4.000    0.110    2.785
     8.90    4.000    0.110    2.785
     9.00    4.000    0.120    2.785
     9.10    4.000    0.125    2.785
     9.20    4.000    0.130    2.790
     9.30    4.000    0.135    2.790
     9.40    4.000    0.140    2.790
     9.50    4.000    0.145    2.795
     9.60    4.000    0.150    2.795
     9.70    4.000    0.155    2.795
     9.80    4.000    0.160    2.800
     9.90    4.000    0.165    2.800
    10.00    4.000    0.170    2.805
    10.10    4.000    0.175    2.810
    10.20    4.000    0.180    2.810
    10.30    4.000    0.190    2.815
    10.40    4.000    0.190    2.815
    10.50    4.000    0.195    2.820
    10.60    4.000    0.205    2.820
    10.70    4.000    0.210    2.820
    10.80    4.000    0.210    2.825
    10.90    4.000    0.220    2.830
    11.00    4.000    0.220    2.830
    11.10    4.000    0.225    2.830
    11.20    4.000    0.230    2.830
    11.30    4.000    0.235    2.835
    11.40    4.000    0.240    2.835
    11.50    4.000    0.245    2.835
    11.60    4.000    0.250    2.840
    11.70    4.000    0.250    2.840
    11.80    4.000    0.260    2.845
    11.90    4.000    0.265    2.845
    12.00    4.000    0.270    2.850
    12.10    4.000    0.275    2.845
    12.20    4.000    0.280    2.845
    12.30    4.000    0.280    2.850
    12.40    4.000    0.285    2.855
    12.50    4.000    0.290    2.855
    12.60    4.000    0.295    2.855
    12.70    4.000    0.300    2.855
    12.80    4.000    0.305    2.860
    12.90    4.000    0.310    2.860
    13.00    4.000    0.315    2.860
    13.10    4.000    0.320    2.860
    13.20    4.000    0.325    2.865
    13.30    4.000    0.330    2.865
    13.40    4.000    0.335    2.865
    13.50    4.000    0.340    2.865
    13.60    4.000    0.345    2.865
    13.70    4.000    0.350    2.865
    13.80    4.000    0.355    2.865
    13.90    4.000    0.355    2.865
    14.00    4.000    0.360    2.865
    14.10    4.000    0.360    2.870
    14.20    4.000    0.370    2.870
    14.30    4.000    0.375    2.870
    14.40    4.000    0.375    2.875
    14.50    4.000    0.385    2.880
    14.60    4.000    0.385    2.880
    14.70    4.000    0.390    2.880
